,F,I,H,H-tilde,H-tilde_std,N
ECE1,2.361117884809961e-05,-0.08196721311475486,6.705247378511027,6.623280165396272,0.026599282769201395,122
AL031005.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
AL031728.1,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
NBPF3,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
USP48,4.9157700224731975e-05,0.07177490055915658,7.387235253817408,7.459010154376565,0.017316400555172883,254
LDLRAD2,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
HSPG2,2.7094795399458568e-06,0.41106339301167605,3.3248629576173565,3.7359263506290326,0.07142857142858818,14
LINC01635,1.161205517119653e-06,0.0,2.584962500721156,2.584962500721156,0.0,6
CDC42,0.00036248965559418497,0.17777189673952165,8.553104320140157,8.730876216879679,0.0038629473680076546,1873
AL031281.2,5.806027585598265e-07,0.6666666666666666,0.9182958340544894,1.584962500721156,0.0,3
WNT4,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
ZBTB40,1.161205517119653e-05,0.16258145836939164,5.660975803905794,5.823557262275186,0.016666666666801198,60
C1QA,1.1224986665489978e-05,2.441665989697803,3.261142591636665,5.702808581334468,0.017241379310432053,58
C1QC,2.322411034239306e-06,3.584962500721156,0.0,3.584962500721156,0.0,12
C1QB,2.5159452870925815e-06,3.081057523462328,0.6193821946787641,3.700439718141092,0.0,13
EPHB2,2.7094795399458568e-06,-0.07142857142857162,3.807354922057604,3.7359263506290326,0.07142857142858818,14
KDM1A,2.5546521376632364e-05,-0.004716335219078438,6.718488437474712,6.713772102255634,0.061608570100399246,132
LUZP1,1.761161700964807e-05,0.2871684753103869,6.11757733245884,6.404745807769227,0.03711476649541139,91
LINC01355,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
AL109936.6,5.806027585598265e-07,0.0,1.584962500721156,1.584962500721156,0.0,3
HNRNPR,0.0001153464147005522,0.10550833909790924,8.078588818574483,8.184097157672392,0.03755184360586961,596
ZNF436,1.7418082756794795e-06,0.0,3.169925001442312,3.169925001442312,0.0,9
ZNF436-AS1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
AL109936.2,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
TCEA3,7.547835861277744e-06,0.3976865385724855,4.836433629007712,5.234120167580198,0.0,39
ASAP3,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
E2F2,2.7094795399458568e-06,0.1428571428571428,3.6644977792004614,3.807354922057604,0.0,14
AL021154.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
ID3,3.2707288732203555e-05,0.8684629528239212,6.180659521950627,7.049122474774548,0.05433292300769778,169
MDS2,3.6771508042122342e-06,0.35552039485070885,3.8924071185928764,4.247927513443585,0.0,19
RPL11,0.004120344243246235,0.15448580044106563,8.879657160473133,9.034142960914199,0.0029607181923926654,21290
ELOA,1.935342528532755e-05,0.040000000000000036,6.41630731475309,6.45630731475309,0.08754887502165161,100
ELOA-AS1,3.2900822985056833e-06,0.05882352941176494,3.9698157824268097,4.028639311838575,0.05882352941175572,17
PITHD1,4.9157700224731975e-05,-0.12168019198449809,7.587604753776389,7.465924561791891,0.08424013291237914,254
LYPLA2,3.754564505353544e-05,-0.0241857680032318,7.182286295750767,7.158100527747536,0.05764053602211528,194
GALE,7.547835861277744e-06,-0.03531907054055772,5.1828381162981465,5.147519045757589,0.015962980741517654,39
HMGCL,1.703101425108824e-05,0.14215653414007878,6.1922750844972185,6.334431618637297,0.0340909090908178,88
FUCA1,1.9159891032474272e-05,0.09987089651927938,6.323652958397888,6.423523854917168,0.044216603546314834,99
CNR2,5.806027585598265e-06,0.13333333333333375,4.773557262275185,4.906890595608519,0.0,30
PNRC2,7.044646803859228e-05,0.14532032129736283,7.765432251504488,7.910752572801851,0.02405188874202458,364
SRSF10,0.00010373435952935566,-0.0012122383940482706,8.153405755940783,8.152193517546735,0.0014715023574402672,536
MYOM3,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
